battle_tag,result,my_remaining,opp_remaining
battle-gen9ubers-35745,Loss,0,1
battle-gen9ubers-35746,Loss,0,1
battle-gen9ubers-35747,Win,1,0
battle-gen9ubers-35757,Loss,0,2
battle-gen9ubers-35758,Loss,0,1
battle-gen9ubers-35759,Loss,0,1
battle-gen9ubers-35790,Loss,0,2
battle-gen9ubers-35791,Loss,0,2
battle-gen9ubers-35792,Loss,0,2
battle-gen9ubers-36006,Loss,0,1
battle-gen9ubers-36007,Loss,0,3
battle-gen9ubers-36008,Loss,0,1
battle-gen9ubers-36045,Loss,0,1
battle-gen9ubers-36046,Loss,0,1
battle-gen9ubers-36047,Loss,0,3
battle-gen9ubers-36081,Win,5,0
battle-gen9ubers-36082,Loss,0,1
battle-gen9ubers-36083,Loss,0,1
battle-gen9ubers-39177,Loss,0,1
battle-gen9ubers-39178,Loss,0,1
battle-gen9ubers-39179,Win,3,0
battle-gen9ubers-39180,Loss,0,1
battle-gen9ubers-39181,Win,1,0
battle-gen9ubers-39182,Win,4,0
battle-gen9ubers-39183,Win,5,0
battle-gen9ubers-39184,Win,2,0
battle-gen9ubers-39185,Win,2,0
battle-gen9ubers-39186,Loss,0,1
battle-gen9ubers-39187,Loss,0,1
battle-gen9ubers-39188,Win,1,0
battle-gen9ubers-39189,Win,3,0
battle-gen9ubers-39190,Win,5,0
battle-gen9ubers-39191,Win,1,0
battle-gen9ubers-39192,Win,4,0
battle-gen9ubers-39193,Win,3,0
battle-gen9ubers-39194,Win,5,0
battle-gen9ubers-39195,Win,5,0
battle-gen9ubers-39196,Win,5,0
battle-gen9ubers-39197,Win,5,0
battle-gen9ubers-39198,Win,1,0
battle-gen9ubers-39199,Win,4,0
battle-gen9ubers-39200,Win,3,0
battle-gen9ubers-39201,Win,3,0
battle-gen9ubers-39202,Win,4,0
battle-gen9ubers-39203,Win,3,0
battle-gen9ubers-39204,Win,2,0
battle-gen9ubers-39205,Win,4,0
battle-gen9ubers-39206,Win,6,0
battle-gen9ubers-39207,Loss,0,1
battle-gen9ubers-39208,Loss,0,1
battle-gen9ubers-39209,Win,2,0
battle-gen9ubers-39210,Loss,0,1
battle-gen9ubers-39211,Loss,0,1
battle-gen9ubers-39212,Loss,0,1
battle-gen9ubers-39213,Loss,0,2
battle-gen9ubers-39214,Loss,0,2
battle-gen9ubers-39215,Win,1,0
battle-gen9ubers-39216,Loss,0,1
battle-gen9ubers-39217,Loss,0,2
battle-gen9ubers-39218,Loss,0,2
battle-gen9ubers-39219,Loss,0,0
battle-gen9ubers-39220,Loss,0,1
battle-gen9ubers-39221,Loss,0,3
battle-gen9ubers-45666,Loss,0,1
battle-gen9ubers-45667,Win,1,0
battle-gen9ubers-45668,Win,2,0
battle-gen9ubers-45669,Win,2,0
battle-gen9ubers-45670,Loss,0,1
battle-gen9ubers-45671,Win,4,0
battle-gen9ubers-45672,Loss,0,1
battle-gen9ubers-45673,Loss,0,2
battle-gen9ubers-45674,Loss,0,4
battle-gen9ubers-45675,Loss,0,1
battle-gen9ubers-45676,Loss,0,1
battle-gen9ubers-45677,Loss,0,1
battle-gen9ubers-45678,Win,0,0
battle-gen9ubers-45679,Loss,0,2
battle-gen9ubers-45680,Win,2,0
battle-gen9ubers-45681,Win,5,0
battle-gen9ubers-45682,Win,5,0
battle-gen9ubers-45683,Win,3,0
battle-gen9ubers-45684,Loss,0,1
battle-gen9ubers-45685,Win,2,0
battle-gen9ubers-45686,Win,3,0
battle-gen9ubers-45687,Win,5,0
battle-gen9ubers-45688,Win,4,0
battle-gen9ubers-45689,Win,4,0
battle-gen9ubers-45690,Win,3,0
battle-gen9ubers-45691,Win,1,0
battle-gen9ubers-45692,Win,4,0
battle-gen9ubers-45693,Win,6,0
battle-gen9ubers-45694,Win,4,0
battle-gen9ubers-45695,Win,5,0
battle-gen9ubers-45696,Win,1,0
battle-gen9ubers-45697,Loss,0,1
battle-gen9ubers-45698,Loss,0,1
battle-gen9ubers-45699,Loss,0,2
battle-gen9ubers-45700,Loss,0,2
battle-gen9ubers-45701,Loss,0,1
battle-gen9ubers-45702,Loss,0,1
battle-gen9ubers-45703,Win,1,0
battle-gen9ubers-45704,Loss,0,1
battle-gen9ubers-45705,Loss,0,2
battle-gen9ubers-45706,Loss,0,1
battle-gen9ubers-45707,Loss,0,1
battle-gen9ubers-45708,Loss,0,2
battle-gen9ubers-45709,Win,2,0
battle-gen9ubers-45710,Loss,0,3
